,Ticker,Date,Open,High,Low,Close,Volume
0,MMM,2025-01-02,129.6504547874686,130.97392820177538,128.34688745310578,129.0633544921875,3248900
1,MMM,2025-01-03,129.06334971419847,130.21765936597367,128.66531923339505,129.23251342773438,2273700
2,MMM,2025-01-06,130.1778640706639,130.7649643517835,129.24247572643148,129.65045166015625,3067000
3,MMM,2025-01-07,129.45144830251954,132.14815292159315,129.3718391612449,132.11830139160156,3414500
4,MMM,2025-01-08,131.3819156773458,134.01890180074477,131.01373672001188,133.86964416503906,4676000
5,MMM,2025-01-10,133.173083079737,133.24273158169368,129.98879365574723,130.56594848632812,4661700
6,MMM,2025-01-13,130.08830154347197,134.0686673598863,128.9041402836662,133.93931579589844,4207200
7,MMM,2025-01-14,133.95920073222615,137.02408409656377,133.8099430943079,136.5364990234375,4629000
8,MMM,2025-01-15,137.53159594948005,138.16845386995803,136.4469347295066,137.10369873046875,4114300
9,MMM,2025-01-16,137.3524770329069,138.81526273667131,135.77028520928948,138.496826171875,4122700
10,MMM,2025-01-17,138.96450705497523,140.9646504739775,138.8152494194779,140.33773803710938,5724500
11,MMM,2025-01-21,144.78579938489077,149.26371070607297,144.2882536825372,146.16897583007812,11368500
12,MMM,2025-01-22,147.15412733518932,151.3335083557594,146.68643314263198,148.38803100585938,7077700
13,MMM,2025-01-23,148.71641397368634,149.72146605457849,147.6815255479345,148.89553833007812,4439100
14,MMM,2025-01-24,148.16910545090974,149.36322729465945,147.67155974397735,148.69650268554688,4858400
15,MMM,2025-01-27,148.26862567679908,151.25390001928497,148.17907109065823,150.77626037597656,4929600
16,MMM,2025-01-28,150.57725113561935,152.20920056731774,149.0547471909806,150.65684509277344,4286800
17,MMM,2025-01-29,150.75634560343155,152.0300613680761,149.90056640057136,150.796142578125,3996100
18,MMM,2025-01-30,151.25389183138878,153.89087795094594,151.08472811653886,153.64210510253906,3962300
19,MMM,2025-01-31,154.2292249470427,154.23917039506128,151.38326287304272,151.45291137695312,4164200
20,MMM,2025-02-03,148.44773332979904,150.88571949832345,147.42279036407987,149.3035125732422,3556300
21,MMM,2025-02-04,148.72636639722353,152.01015584962892,148.58705420944807,150.93545532226562,3110400
22,MMM,2025-02-05,151.71165130615975,152.86594586482394,150.0000927730999,151.70169067382812,2841400
23,MMM,2025-02-06,151.95046635729003,152.7166910503868,150.82602330699018,151.5723419189453,2760200
24,MMM,2025-02-07,151.75144906066865,152.14947957481243,148.80597163077582,149.1343536376953,3356600
25,MMM,2025-02-10,149.4229401816803,149.86078286201203,147.4029056933334,148.9552459716797,3531400
26,MMM,2025-02-11,148.5770948400405,149.64184992871162,147.84073692006737,149.3333740234375,2187700
27,MMM,2025-02-12,147.97008799322265,149.3333735348857,147.43274531867885,148.13925170898438,2102900
28,MMM,2025-02-13,148.37809056136382,148.9850969689471,146.80584420755972,147.99000549316406,2047000
29,MMM,2025-02-14,147.88999938964844,149.5500030517578,147.74000549316406,148.6199951171875,2388300
30,MMM,2025-02-18,148.17999267578125,149.49000549316406,148.0,148.99000549316406,2601400
31,MMM,2025-02-19,148.07000732421875,150.36000061035156,148.07000732421875,150.1999969482422,3216900
32,MMM,2025-02-20,149.99000549316406,150.08999633789062,148.0399932861328,149.0800018310547,2231500
33,MMM,2025-02-21,149.0800018310547,149.5399932861328,144.55999755859375,144.97999572753906,4278500
34,MMM,2025-02-24,144.97999572753906,146.39999389648438,143.8699951171875,145.47999572753906,3447500
35,MMM,2025-02-25,145.42999267578125,147.55999755859375,145.33999633789062,146.5399932861328,4358800
36,MMM,2025-02-26,144.38999938964844,149.25999450683594,141.75999450683594,147.42999267578125,5783400
37,MMM,2025-02-27,148.77000427246094,152.55999755859375,148.2100067138672,150.52000427246094,6576000
38,MMM,2025-02-28,151.5,155.5,151.0,155.1199951171875,8323100
39,MMM,2025-03-03,155.5,156.35000610351562,151.89999389648438,153.4199981689453,5672700
40,MMM,2025-03-04,150.5,151.0399932861328,145.6199951171875,145.86000061035156,6787400
41,MMM,2025-03-05,146.75999450683594,149.0399932861328,146.0,147.61000061035156,3909700
42,MMM,2025-03-06,146.38999938964844,148.1300048828125,145.75,146.94000244140625,4492400
43,MMM,2025-03-07,144.69000244140625,147.22000122070312,140.77999877929688,146.3000030517578,5891100
44,MMM,2025-03-10,143.47000122070312,149.17999267578125,143.1199951171875,147.6199951171875,4966500
45,MMM,2025-03-11,145.72999572753906,149.49000549316406,145.6300048828125,147.5399932861328,5818300
46,MMM,2025-03-12,148.30999755859375,151.24000549316406,147.1999969482422,150.24000549316406,4196600
47,MMM,2025-03-13,150.27999877929688,151.24000549316406,145.91000366210938,146.10000610351562,3295000
48,MMM,2025-03-14,147.9199981689453,150.7899932861328,147.05999755859375,150.41000366210938,4094400
49,MMM,2025-03-17,150.3699951171875,153.97999572753906,150.0,153.2100067138672,4562100
50,MMM,2025-03-18,152.57000732421875,153.2100067138672,150.5,150.9199981689453,3038500
51,MMM,2025-03-19,151.19000244140625,153.97000122070312,150.9199981689453,153.2100067138672,2344100
52,MMM,2025-03-20,151.64999389648438,153.64999389648438,151.08999633789062,151.27000427246094,2579000
53,MMM,2025-03-21,149.89999389648438,150.75999450683594,148.07000732421875,150.36000061035156,5538500
54,AOS,2025-01-02,68.16393846685226,68.96984449547121,66.95009982220982,66.98989868164062,815300
55,AOS,2025-01-03,67.11923809812563,68.43257007275878,66.83070206548234,68.25347900390625,932800
56,AOS,2025-01-06,68.52212418713007,69.18873803796079,68.04454543989131,68.55197143554688,1531100
57,AOS,2025-01-07,68.37287847914341,68.97979781649647,67.61671531294253,67.95500183105469,943900
58,AOS,2025-01-08,67.52717046552387,68.41267419422424,66.9500984023005,68.33307647705078,977700
59,AOS,2025-01-10,67.53711990861996,68.53206868059003,66.86055444004604,67.23863983154297,1343700
60,AOS,2025-01-13,67.23864114819555,68.43257666159634,67.03964683539085,68.28333282470703,1039600
61,AOS,2025-01-14,69.06934053402296,70.9895919287945,69.06934053402296,70.89009857177734,1716800
62,AOS,2025-01-15,72.25318402153962,72.7208035775491,70.54187088443588,70.59161376953125,1702400
63,AOS,2025-01-16,70.94979544967636,71.10899089893341,70.32298044765459,71.03934478759766,969000
64,AOS,2025-01-17,71.57661381760052,71.90494112831355,70.91994401446169,71.447265625,1285700
65,AOS,2025-01-21,72.13378750043033,72.79045734749381,71.92484916478018,72.32283020019531,973600
66,AOS,2025-01-22,71.56666108207543,71.67610604754813,70.00459190952238,70.61151123046875,1701500
67,AOS,2025-01-23,70.78065542434778,71.48706814547263,69.93495048164097,70.90999603271484,1932600
68,AOS,2025-01-24,70.72095747131436,70.97963867540919,70.04439203203484,70.21353149414062,1458400
69,AOS,2025-01-27,70.57171659376402,71.46717200536716,70.32297940114408,71.0691909790039,1112200
70,AOS,2025-01-28,70.64136398325356,71.52686779774692,69.22853852539413,69.51707458496094,1397000
71,AOS,2025-01-29,69.38772370882265,69.50712029154694,68.4922683155318,68.87035369873047,1513000
72,AOS,2025-01-30,66.17404673614698,67.31823937298192,65.19899357330881,66.97000122070312,3225300
73,AOS,2025-01-31,67.75,68.81999969482422,66.75,67.30000305175781,2674700
74,AOS,2025-02-03,66.70999908447266,67.58000183105469,65.58000183105469,67.04000091552734,2475400
75,AOS,2025-02-04,67.05999755859375,67.76000213623047,65.6500015258789,65.66000366210938,2227100
76,AOS,2025-02-05,66.0,66.1500015258789,64.94000244140625,65.63999938964844,1508400
